Id,method,comment,isConsistent,tokensLength
10,"long getOldestVersionToKeep() {
        long v = oldestVersionToKeep.get();
        v = Math.max(v - versionsToKeep, INITIAL_VERSION);
        if (fileStore != null) {
            long storeVersion = lastStoredVersion;
            if (storeVersion != INITIAL_VERSION && storeVersion < v) {
                v = storeVersion;
            }
        }
        return v;
    }",Get the oldest version to retain.,1,112
11,"public T remove(Channel channel) {
        if (channel == null) {
            throw new NullPointerException(""channel"");
        }
        T removed = map.remove(channel);
        if (removed == null) {
            return initialValue(channel);
        } else {
            return removed;
        }
    }",Removes the variable and returns the removed value.,1,100
12,"public static RPCBlockWriteResponse decode(ByteBuf in) {
    long sessionId = in.readLong();
    long blockId = in.readLong();
    long offset = in.readLong();
    long length = in.readLong();
    short status = in.readShort();
    return new RPCBlockWriteResponse(sessionId, blockId, offset, length, Status.fromShort(status));
  }",Decode the input  ByteBuf into a  RPCBlockWriteResponse object and return it.,1,116
13,"public ReferenceCountingResourceHolder<List<T>> takeBatch(final int elementNum)
  {
    checkInitialized();
    try {
      return wrapObjects(takeObjects(elementNum));
    }
    catch (InterruptedException e) {
      throw Throwables.propagate(e);
    }
  }","Take resources from the pool, waiting if necessary until the elements of the given number become available.",1,76
14,"SimpleHttpResponse generateResponse(final HttpRequest request, final HttpCacheEntry entry) throws IOException {
        final Date now = new Date();
        final SimpleHttpResponse response = new SimpleHttpResponse(entry.getStatus());
        response.setVersion(HttpVersion.DEFAULT);

        response.setHeaders(entry.getAllHeaders());

        if (responseShouldContainEntity(request, entry)) {
            final Resource resource = entry.getResource();
            final Header h = entry.getFirstHeader(HttpHeaders.CONTENT_TYPE);
            final ContentType contentType = h != null ? ContentType.parse(h.getValue()) : null;
            final byte[] content = resource.get();
            addMissingContentLengthHeader(response, content);
            response.setBodyBytes(content, contentType);
        }

        final long age = this.validityStrategy.getCurrentAgeSecs(entry, now);
        if (age > 0) {
            if (age >= Integer.MAX_VALUE) {
                response.setHeader(HeaderConstants.AGE, ""2147483648"");
            } else {
                response.setHeader(HeaderConstants.AGE, """" + ((int) age));
            }
        }

        return response;
    }",If it is legal to use cached content in response response to the  HttpRequest then generate an  HttpResponse based on  HttpCacheEntry.,1,330
15,"public static ReviewMgr createInstance(String contextId)
        throws SecurityException
    {
        VUtil.assertNotNull(contextId, GlobalErrIds.CONTEXT_NULL, CLS_NM + "".createInstance"");
        if (!VUtil.isNotNullOrEmpty(reviewClassName))
        {
            if(GlobalIds.IS_REST)
            {
                reviewClassName = ReviewMgrRestImpl.class.getName();
            }
            else
            {
                reviewClassName = ReviewMgrImpl.class.getName();
            }
        }

        ReviewMgr reviewMgr = ( ReviewMgr ) ClassUtil.createInstance(reviewClassName);
        reviewMgr.setContextId(contextId);
        return reviewMgr;
    }",Create and return a reference to  ReviewMgr object.,1,154
16,"@SuppressWarnings(""unchecked"")
    @Override
    default <U, TRAVERSABLE extends HigherKinded<U, Traversable<?>>> List<U> flatten(Function<? super T, ? extends TRAVERSABLE> f) {
        Objects.requireNonNull(f, ""f is null"");
        return isEmpty() ? Nil.instance() : foldRight(nil(), (t, xs) -> xs.prependAll((Traversable<U>) f.apply(t)));
    }",Flattens a  List using a function  f.,1,133
17,"public boolean isExpanded() {
	return getDrawerFigure().isExpanded();
}",Returns the expansion state of the drawer,1,24
18,"public ViewGroup getStickySectionHeadersHolder() {
		return (ViewGroup) ((Activity) mRecyclerView.getContext()).findViewById(R.id.sticky_header_container);
	}",Returns the ViewGroup (FrameLayout) that will hold the headers when sticky.,1,42
19,"public static <C extends Comparable<E>, E> Rule<C> ge(E value) {
        return new GeRule<C, E>(value);
    }",Returns a rule which evaluates to true if the supplied input is greater than or equals to the given value.,1,52
20,"protected Element getField(final String fieldTypeFqn){
        
        if (null == fieldTypeFqn || """".equals(fieldTypeFqn.trim())){
            throw new IllegalArgumentException(""Passed an empty or null fieldTypeFqn."");
        }
        
        TypeElement classElement = getClassElement();
        TypeElement fieldType = asTypeElement(fieldTypeFqn);
        return checkElementsForType(ElementFilter.fieldsIn(classElement.getEnclosedElements()), fieldType);
    }",Gets the element representing a field of the given type.,1,111
21,"public static FastDateFormat getDateInstance(int style, TimeZone timeZone, Locale locale) {
        return cache.getDateTimeInstance(style, null, timeZone, locale);
    }","Gets a date formatter instance using the specified style, time zone and locale.",1,48
22,"public String toString() {
        if (getUnit() instanceof CompoundUnit)
            return MeasureFormat.DEFAULT.formatCompound(doubleValue(getUnit()),
                    getUnit(), new StringBuffer(), null).toString();
        return getValue() + "" "" + getUnit();
    }",Returns the String representation of this measure,1,84
23,"public static CiConstant forFloat(float f) {
        return new CiConstant(CiKind.Float, f);
    }",Utility method to create a value type for a float constant.,1,34
24,"public static List<SavedAttachment> findExistingAttachments(
            Collection<? extends Attachment> attachments) {
        ArrayList<SavedAttachment> list = new ArrayList<SavedAttachment>();
        for (Attachment a : attachments) {
            if (a instanceof SavedAttachment) {
                list.add((SavedAttachment)a);
            }
        }
        return list;
    }",Return a list of the existing attachments in the list passed in.,1,102
25,"public List<Item> getItems() {
        synchronized (items) {
            return Collections.unmodifiableList(new ArrayList<Item>(items));
        }
    }",Returns a List of the items returned from a search.,1,47
26,"public static MongoClient create(final MongoClientSettings settings) {
        return new MongoClientImpl(settings, createCluster(settings, getStreamFactory(settings)));
    }",Create a new client with the given client settings.,1,43
27,"public CheServicesEnvironmentImpl parse(Environment environment) throws IllegalArgumentException,
                                                                            ServerException {

        checkNotNull(environment, ""Environment should not be null"");
        checkNotNull(environment.getRecipe(), ""Environment recipe should not be null"");
        checkNotNull(environment.getRecipe().getType(), ""Environment recipe type should not be null"");
        checkArgument(environment.getRecipe().getContent() != null || environment.getRecipe().getLocation() != null,
                      ""Recipe of environment must contain location or content"");

        CheServicesEnvironmentImpl composeEnvironment;
        String envType = environment.getRecipe().getType();
        switch (envType) {
            case ""compose"":
                composeEnvironment = parseCompose(environment.getRecipe());
                break;
            case ""dockerimage"":
            case ""dockerfile"":
                composeEnvironment = parseDocker(environment);
                break;
            default:
                throw new IllegalArgumentException(""Environment type "" + envType + "" is not supported"");
        }

        composeEnvironment.getServices().forEach((name, service) -> {
            ExtendedMachine extendedMachine = environment.getMachines().get(name);
            if (extendedMachine != null &&
                extendedMachine.getAttributes() != null &&
                extendedMachine.getAttributes().containsKey(""memoryLimitBytes"")) {

                try {
                    service.setMemLimit(Long.parseLong(extendedMachine.getAttributes().get(""memoryLimitBytes"")));
                } catch (NumberFormatException e) {
                    throw new IllegalArgumentException(
                            format(""Value of attribute 'memoryLimitBytes' of machine '%s' is illegal"", name));
                }
            }
        });

        return composeEnvironment;
    }",Parses  Environment into  CheServicesEnvironmentImpl.,1,409
28,"public static org.openldap.fortress.ReviewMgr createInstance(String contextId)
        throws SecurityException
    {
        VUtil.assertNotNull(contextId, GlobalErrIds.CONTEXT_NULL, CLS_NM + "".createInstance"");
        if (!VUtil.isNotNullOrEmpty(reviewClassName))
        {
            if(GlobalIds.IS_REST)
            {
                reviewClassName = ReviewMgrRestImpl.class.getName();
            }
            else
            {
                reviewClassName = ReviewMgrImpl.class.getName();
            }
        }

        ReviewMgr reviewMgr = ( org.openldap.fortress.ReviewMgr) ClassUtil.createInstance(reviewClassName);
        reviewMgr.setContextId(contextId);
        return reviewMgr;
    }",Create and return a reference to  org.openldap.fortress.ReviewMgr object.,1,165
29,"public SocksProtocolVersion protocolVersion() {
        return protocolVersion;
    }",Returns the  SocksProtocolVersion of this  SocksMessage,1,19
30,"public static Ticker adaptTicker(CryptsyGetMarketsReturn marketsReturnData, CurrencyPair currencyPair) {

    List<CryptsyMarketData> marketData = marketsReturnData.getReturnValue();

    String label = currencyPair.toString().replace(""_"", ""/"");

    CryptsyMarketData targetMarket = null;
    for (CryptsyMarketData currMarket : marketData) {
      if (currMarket.getLabel().equalsIgnoreCase(label)) {
        targetMarket = currMarket;
        break;
      }
    }

    BigDecimal last = targetMarket.getLast();
    BigDecimal bid = null;
    BigDecimal ask = null;
    BigDecimal high = targetMarket.getHigh();
    BigDecimal low = targetMarket.getLow();
    BigDecimal volume = targetMarket.get24hVolume();

    return new Ticker.Builder().currencyPair(currencyPair).last(last).bid(bid).ask(ask).high(high).low(low).volume(volume).build();
  }",Adapts CryptsyGetMarketsReturn DTO to XChange standard Ticker DTO Note:,1,259
31,"private State createState(Object propertyValue) {
		if(propertyValue == null) {
			return UnDefType.NULL;
		}

		Class<?> dataType = propertyValue.getClass();

		if (Date.class.isAssignableFrom(dataType)) {
			Calendar calendar = Calendar.getInstance();
			calendar.setTime((Date) propertyValue);
			return new DateTimeType(calendar);
		} else if (BigDecimal.class.isAssignableFrom(dataType)) {
			return new DecimalType((BigDecimal) propertyValue);
		} else if (Boolean.class.isAssignableFrom(dataType)) {
			if((Boolean) propertyValue) {
				return OnOffType.ON;
			} else {
				return OnOffType.OFF;
			}
		} else {
			return new StringType(propertyValue.toString());
		}
	}",Creates an openHAB  State in accordance to the class of the given  propertyValue.,1,231
32,"public double asDouble() {
        assert getKind() == Kind.Double;
        return Double.longBitsToDouble(primitive);
    }",Returns the primitive double value this constant represents.,1,39
33,"public RawLogTriplet newConnection(
        final String channel, final int sessionId, final int streamId, final long correlationId, final int termBufferLength)
    {
        if (termBufferLength > connectionTermBufferMaxLength)
        {
            throw new IllegalArgumentException(
                ""connection term buffer larger than max length: "" + termBufferLength + "" > "" + connectionTermBufferMaxLength);
        }

        return newInstance(subscriptionsDir, channel, sessionId, streamId, correlationId, termBufferLength);
    }",Create new  RawLogTriplet in the subscriptions directory for the supplied triplet.,1,120
34,"public Argument setArgName(String argName) {
    Objects.requireNonNull(argName);
    this.argName = argName;
    return this;
  }",Sets the argument name of this  Argument.,1,41
35,"public static boolean contains(IShape shape1, IShape shape2) {
		for (ICurve seg : shape2.getOutlineSegments()) {
			if (!contains(shape1, seg)) {
				return false;
			}
		}
		return true;
	}",Returns true if the second  IShape is fully contained by the first  IShape.,1,76
36,"@Override
    public Cartesian3D parse(final String source) throws MathParseException {
        ParsePosition parsePosition = new ParsePosition(0);
        Cartesian3D result = parse(source, parsePosition);
        if (parsePosition.getIndex() == 0) {
            throw new MathParseException(source,
                                         parsePosition.getErrorIndex(),
                                         Cartesian3D.class);
        }
        return result;
    }",Parses a string to produce a  Cartesian3D object.,1,108
37,"@Override
	public String getDefault() {
		OdfElement parentElement = (OdfElement)getOwnerElement();
		String defaultValue = null;
		if (parentElement != null) {
			defaultValue = DEFAULT_VALUE;			
		}
		return defaultValue;
	}",Returns the default value of @odf.attribute table:orientation dependent of its element name,1,73
38,"public final StringConstantOperand asStringConstant() {
    return (StringConstantOperand) this;
  }",Cast to an  StringConstantOperand.,1,25
39,"public boolean verify(byte[] data, byte[] signedData) {
        RSAPublicKeySpec keySpec = new RSAPublicKeySpec(modulus, exponent);
        try {
            KeyFactory keyFactory = KeyFactory.getInstance(IdentityConstants.CERTIFICATE_ALGORITHM);
            PublicKey key = keyFactory.generatePublic(keySpec);
            Signature signatureVerifier = Signature.getInstance(IdentityConstants.SIGNATURE_ALGORITHM);
            signatureVerifier.initVerify(key);
            signatureVerifier.update(data);
            return signatureVerifier.verify(signedData);
        } catch (NoSuchAlgorithmException e) {
            throw new RuntimeException(""Insufficient support for '"" + IdentityConstants.CERTIFICATE_ALGORITHM + ""', required for identity management"", e);
        } catch (InvalidKeySpecException e) {
            return false;
        } catch (SignatureException e) {
            return false;
        } catch (InvalidKeyException e) {
            return false;
        }
    }","Verifies that the signedData was created by this certificate's corresponding private certificate, over the given data.",1,227
40,"public String getMandoc() {
        String value;
        return mandoc != null ? mandoc : (value =
            threadConfig.get().getMandoc()) != null ? value :
            System.getProperty(""org.opengrok.indexer.analysis.Mandoc"");
    }","Gets the name of the mandoc program to use: either the last value passed successfully to  #setMandoc(java.lang.String), or  Configuration#getMandoc(), or the system property for  ""org.opengrok.indexer.analysis.Mandoc"", or  null as a default.",1,74
41,"public Vector2D toSubSpace(Vector<Euclidean3D> vector) {
        return toSubSpace((Point<Euclidean3D>) vector);
    }",Transform a space point into a sub-space point.,1,35
42,"public String getWorkingDir() {
        return getWorkDirRaw().replaceAll(""\\\\"", ""\\\\\\\\""); // in order to keep back slash for ognl expression evaluation
    }",Gets the work directory of this schedule 'workdir'/'project'/'schedule'.,1,39
43,"public static String readStream(InputStream stream) {
		return BUILD_PROPERTIES.readStream(stream);
	}",Wrapper.,1,29
44,"public static RPCBlockResponse decode(ByteBuf in) {
    long blockId = in.readLong();
    long offset = in.readLong();
    long length = in.readLong();
    short status = in.readShort();
    DataBuffer data = null;
    if (length > 0) {
      // TODO: look into accessing Netty ByteBuf directly, to avoid copying the data.
      ByteBuffer buffer = ByteBuffer.allocate((int) length);
      in.readBytes(buffer);
      data = new DataByteBuffer(buffer, (int) length);
    }
    return new RPCBlockResponse(blockId, offset, length, data, Status.fromShort(status));
  }",Decode the input  ByteBuf into a  RPCBlockResponse object and return it.,1,179
45,"public TextAnchor getTextAnchor() {
        String json = parse.get(layout, ""text-anchor"");
        if (json == null) {
            return null;
        }
        return TextAnchor.parse(json);
    }",Part of the text placed closest to the anchor (requires text-field).,1,67
46,"public static <T extends Collection<?>> T validIndex(T collection, int index, String message, Object... values) {
        Validate.notNull(collection);
        if (index < 0 || index >= collection.size()) {
            throw new IndexOutOfBoundsException(String.format(message, values));
        }
        return collection;
    }","Validates that the index is within the bounds of the argument collection; otherwise throwing an exception with the specified message. Validate.validIndex(myCollection, 2, ""The collection index is invalid: ""); If the collection is null, then the message of the exception is &quot;The validated object is null&quot;.",1,111
47,"public boolean isFollowSymlinks() {
        return (isReference())
            ? getRef(getProject()).isFollowSymlinks() : followSymlinks;
    }",Find out if the fileset wants to follow symbolic links.,1,41
48,"protected AccountID createAccountID(String userID, Map<String, String> accountProperties)
    {
        // serverAddress == null is OK because of registrarless support
        String serverAddress = accountProperties.get(SERVER_ADDRESS);

        return new SipAccountIDImpl(userID, accountProperties, serverAddress);
    }",Creates a new SipAccountIDImpl instance with a specific user,1,64
49,"static String asString(Object o) {
		if (o == null) {
			return null;
		} else if (o instanceof String) {
			return (String) o;
		} else if (o instanceof Boolean || o instanceof Number) {
			return o.toString();
		} else if (o instanceof Collection) {
			return ((Collection<?>) o).stream().map(item -> asString(item)).collect(Collectors.joining("", "", ""["", ""]""));
		} else if (o instanceof Optional) {
			final Optional<?> optional = (Optional<?>) o;
			return optional.isPresent() ? asString(optional.get()) : null;
		} else {
			return o.toString();
		}
	}","Converts an Object o to a String according to these rules:  Null and String values are passed back. Boolean and Number are mapped to their toString() value. Collection o1, o2, ...",1,254
50,"public static ExchangeFilterFunction basicAuthentication() {
		return basicAuthenticationInternal(
				request -> request.attribute(BASIC_AUTHENTICATION_CREDENTIALS_ATTRIBUTE).map(o -> (Credentials)o));
	}","Return a filter that adds an Authorization header for HTTP Basic Authentication, based on the  Credentials provided in the plain ClientRequest#attributes() request attributes.",1,49
51,"public String getPath(Uri uri) {
        final boolean isKitKat = Build.VERSION.SDK_INT >= Build.VERSION_CODES.KITKAT;

        // DocumentProvider
        if (isKitKat && DocumentsContract.isDocumentUri(getApplicationContext(), uri)) {
            // ExternalStorageProvider
            if (isExternalStorageDocument(uri)) {
                final String docId = DocumentsContract.getDocumentId(uri);
                final String[] split = docId.split("":"");
                final String type = split[0];

                if (""primary"".equalsIgnoreCase(type)) {
                    return Environment.getExternalStorageDirectory() + ""/"" + split[1];
                }
            }
            // DownloadsProvider
            else if (isDownloadsDocument(uri)) {

                final String id = DocumentsContract.getDocumentId(uri);
                final Uri contentUri = ContentUris.withAppendedId(Uri.parse(""content://downloads/public_downloads""),
                        Long.valueOf(id));

                return getDataColumn(getApplicationContext(), contentUri, null, null);
            }
            // MediaProvider
            else if (isMediaDocument(uri)) {
                final String docId = DocumentsContract.getDocumentId(uri);
                final String[] split = docId.split("":"");
                final String type = split[0];

                Uri contentUri = null;
                if (""image"".equals(type)) {
                    contentUri = MediaStore.Images.Media.EXTERNAL_CONTENT_URI;
                } else if (""video"".equals(type)) {
                    contentUri = MediaStore.Video.Media.EXTERNAL_CONTENT_URI;
                } else if (""audio"".equals(type)) {
                    contentUri = MediaStore.Audio.Media.EXTERNAL_CONTENT_URI;
                }

                final String selection = ""_id=?"";
                final String[] selectionArgs = new String[] { split[1] };

                return getDataColumn(getApplicationContext(), contentUri, selection, selectionArgs);
            } 
        }
        // MediaStore (and general)
        else if (""content"".equalsIgnoreCase(uri.getScheme())) {

            // Return the remote address
            if (isGooglePhotosUri(uri))
                return uri.getLastPathSegment();

            return getDataColumn(getApplicationContext(), uri, null, null);
        }
        // File
        else if (""file"".equalsIgnoreCase(uri.getScheme())) {
            return uri.getPath();
        }
        return null;
    }",Translates a content URI of an content to a physical path on the disk,1,644
52,"public int getAdaptationSetIndex(int type) {
    int adaptationCount = adaptationSets.size();
    for (int i = 0; i < adaptationCount; i++) {
      if (adaptationSets.get(i).type == type) {
        return i;
      }
    }
    return C.INDEX_UNSET;
  }","Returns the index of the first adaptation set of a given type, or  C#INDEX_UNSET if no adaptation set of the specified type exists.",1,98
53,"public Plan plan(AnalyzedStatement analyzedStatement, PlannerContext plannerContext) {
        return process(analyzedStatement, plannerContext);
    }",dispatch plan creation based on analyzed statement,1,33
54,"public ChannelType getChannelType(Channel channel, Locale locale) {
        ChannelTypeUID channelTypeUID = channel.getChannelTypeUID();
        if (channelTypeUID != null) {
            return TypeResolver.resolve(channelTypeUID);
        }
        // fallback for lookup over the thing type
        ChannelUID channelUID = channel.getUID();
        ThingType thingType = this.getThingType(channelUID.getThingTypeUID(), locale);
        if (thingType != null) {
            channelTypeUID = thingType.getChannelTypeUID(channelUID);
            if (channelTypeUID != null) {
                return TypeResolver.resolve(channelTypeUID);
            }
        }
        return null;
    }",Returns the channel type for a given channel and locale.,1,166
55,"public UserCodeWrapper<T> getUserCodeWrapper() {
		return udf;
	}",Gets the function that is held by this operator.,1,22
56,"public boolean isUninterestingStreamEscape(Location location) {
		return uninterestingStreamEscapeSet.contains(location);
	}",Determine if an uninteresting stream escapes at given location.,1,27
57,"public long getWidth() {
		String sWidth = maColumnElement.getProperty(OdfTableColumnProperties.ColumnWidth);
		if (sWidth == null) {
			sWidth = DEFAULT_WIDTH;
		}
		return (long) (PositiveLength.parseDouble(sWidth, Unit.MILLIMETER) * 100);
	}",Get the width of the column (in 1/100th Millimeter).,1,81
58,"protected static ArrayList<WSDSample> getTestData(String wordTag) {

    ArrayList<WSDSample> instances = new ArrayList<WSDSample>();
    for (WordToDisambiguate wtd : seReader.getSensevalData(wordTag)) {

      String targetLemma = Loader.getLemmatizer().lemmatize(wtd.getWord(),
          wtd.getPosTag());

      WSDSample sample = new WSDSample(wtd.getSentence(), wtd.getPosTags(),
          wtd.getWordIndex(), targetLemma);
      sample.setSenseIDs(wtd.getSenseIDs());
      
      if (sample != null) {
        if (sample.getSenseIDs().get(0) != null
            && !sample.getSenseIDs().get(0).equalsIgnoreCase(""U"")) {
          instances.add(sample);
        }
      }

    }

    return instances;
  }","For a specific word, return the Semeval3 corresponding instances in form of  WSDSample",1,233
59,"public Definition remove(long definitionId)
		throws NoSuchDefinitionException, SystemException {
		return remove(Long.valueOf(definitionId));
	}",Removes the definition with the primary key from the database.,1,38
60,"public static Node createPackageView( SourceGroup group ) {
        return new PackageRootNode( group );
    }",Create a node which will contain package-oriented view.,1,33
61,"public RVMMethod resolveInterfaceMethod() throws IncompatibleClassChangeError, NoSuchMethodError {
    if (resolvedMember != null) return resolvedMember;

    // Hasn't been resolved yet. Do it now.
    RVMClass declaringClass = (RVMClass) type.resolve();
    if (!declaringClass.isResolved()) {
      declaringClass.resolve();
    }

    /* Interface method may be either in interface, or a miranda.
    */
    if (!declaringClass.isInterface() && !isMiranda()) {
      throw new IncompatibleClassChangeError();
    }
    RVMMethod ans = resolveInterfaceMethodInternal(declaringClass);
    if (ans == null) {
      throw new NoSuchMethodError(this.toString());
    }
    return ans;
  }",Find the RVMMethod that this member reference refers to using the search order specified in JVM spec 5.4.3.4.,1,174
62,"protected IViewer getContentViewer() {
		return domain.getAdapter(
				AdapterKey.get(IViewer.class, IDomain.CONTENT_VIEWER_ROLE));
	}",Returns the  IViewer of the  Domain that was previously injected.,1,38
63,"public Ava getAva()
    {
        switch ( nbAvas )
        {
            case 0:
                return null;

            case 1:
                return ava;

            default:
                return avas.get( 0 ).clone();
        }
    }","Return the unique Ava, or the first one of we have more than one",1,75
64,"public static List<ColumnDefinition> fromSchema(Row row, CFMetaData cfm)
    {
        if (row.cf == null)
            return Collections.emptyList();

        List<ColumnDefinition> cds = new ArrayList<ColumnDefinition>();
        for (UntypedResultSet.Row result : QueryProcessor.resultify(""SELECT * FROM system.schema_columns"", row))
        {
            try
            {
                IndexType index_type = null;
                Map<String,String> index_options = null;
                String index_name = null;
                Integer componentIndex = null;

                if (result.has(""index_type""))
                    index_type = IndexType.valueOf(result.getString(""index_type""));
                if (result.has(""index_options""))
                    index_options = FBUtilities.fromJsonMap(result.getString(""index_options""));
                if (result.has(""index_name""))
                    index_name = result.getString(""index_name"");
                if (result.has(""component_index""))
                    componentIndex = result.getInt(""component_index"");

                cds.add(new ColumnDefinition(cfm.getColumnDefinitionComparator(componentIndex).fromString(result.getString(""column_name"")),
                                             TypeParser.parse(result.getString(""validator"")),
                                             index_type,
                                             index_options,
                                             index_name,
                                             componentIndex));
            }
            catch (RequestValidationException e)
            {
                throw new RuntimeException(e);
            }
        }

        return cds;
    }",Deserialize columns from low-level representation,1,381
65,"public PodTemplate getTemplate(Label label) {
        for (PodTemplate t : templates) {
            if (label == null || label.matches(t.getLabelSet())) {
                return t;
            }
        }
        return null;
    }",Gets  PodTemplate that has the matching  Label.,1,77
66,"public static Outlink[] getOutlinks(final String plainText, String anchor, Configuration conf) {
    long start = System.currentTimeMillis();
    final List outlinks = new ArrayList();

    try {
      final PatternCompiler cp = new Perl5Compiler();
      final Pattern pattern = cp.compile(URL_PATTERN,
          Perl5Compiler.CASE_INSENSITIVE_MASK | Perl5Compiler.READ_ONLY_MASK
              | Perl5Compiler.MULTILINE_MASK);
      final PatternMatcher matcher = new Perl5Matcher();

      final PatternMatcherInput input = new PatternMatcherInput(plainText);

      MatchResult result;
      String url;

      //loop the matches
      while (matcher.contains(input, pattern)) {
        // if this is taking too long, stop matching
        //   (SHOULD really check cpu time used so that heavily loaded systems
        //   do not unnecessarily hit this limit.)
        if (System.currentTimeMillis() - start >= 60000L) {
          if (LOG.isWarnEnabled()) {
            LOG.warn(""Time limit exceeded for getOutLinks"");
          }
          break;
        }
        result = matcher.getMatch();
        url = result.group(0);
        try {
          Outlink outlink = new Outlink(url, anchor, conf);
          outlinks.add(new Outlink(url, anchor, conf));
        } catch (MalformedURLException mue) {
          LOG.warn(""Invalid url: '"" + url + ""', skipping."");
        }
      }
    } catch (Exception ex) {
      // if the matcher fails (perhaps a malformed URL) we just log it and move on
      if (LOG.isErrorEnabled()) { LOG.error(""getOutlinks"", ex); }
    }

    final Outlink[] retval;

    //create array of the Outlinks
    if (outlinks != null && outlinks.size() > 0) {
      retval = (Outlink[]) outlinks.toArray(new Outlink[0]);
    } else {
      retval = new Outlink[0];
    }

    return retval;
  }",Extracts Outlink from given plain text and adds anchor to the extracted Outlinks,1,507
67,"public KaleoNotification remove(KaleoNotification kaleoNotification)
		throws SystemException {
		return super.remove(kaleoNotification);
	}",Removes the kaleo notification from the database.,1,32
68,"@Override
    public Object parse(final CharSequence text, final ParsePosition pos) throws ParseException {
        if (parser == null) try {
            Constructor<? extends Parser> c = parserConstructor;
            if (c == null) {
                c = Class.forName(""org.apache.sis.io.wkt.GeodeticObjectParser"").asSubclass(Parser.class)
                         .getDeclaredConstructor(Symbols.class, Convention.class, Boolean.TYPE, Locale.class, Map.class);
                parserConstructor = c;
            }
            if (factories == null) {
                factories = new HashMap<>();
            }
            parser = c.newInstance(symbols, convention, false, getLocale(Locale.Category.DISPLAY), factories);
        } catch (ClassNotFoundException e) {
            throw (ParseException) new LocalizedParseException(getLocale(Locale.Category.DISPLAY),
                    Errors.Keys.MissingRequiredModule_1, new String[] {""sis-referencing""}, 0).initCause(e);
        } catch (ReflectiveOperationException e) {
            throw (ParseException) new ParseException(e.getMessage(), 0).initCause(e);
        }
        return parser.parseObject(text.toString(), pos);
    }",Creates an object from the given character sequence.,1,329
70,"public boolean addBean(Object o, boolean managed)
    {
        return addBean(o,managed?Managed.MANAGED:Managed.UNMANAGED);
    }","Adds the given bean, explicitly managing it or not.",1,41
